,company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
812,BankSathi,2019.0,New Delhi,Fintech,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.",Jitendra Dhaka,"Dinesh Godara, Aditya Talwar",200000.0,Seed,5,2021
820,Karbon Card,2019.0,Bengaluru,Fintech,Karbon Card is a financial platform for Indian entrepreneurs.,"Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-fu Hsieh, Sunil Kumar","MyAsia VC, Orios Venture Partners",1000000.0,Pre-Series A,5,2021
824,Glamplus,2020.0,Bengaluru,Saas,India's #1 SaaS based Salon experience Software,Divyanshu Singh,Inflection Point Ventures,200000.0,Pre-Series A,5,2021
825,Tekie,2017.0,Gurugram,Edtech,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.","Anand Verma, Naman Mukund","GSV, Multiply Ventures",1500000.0,Seed,5,2021
826,Asirvad Microfinance,2007.0,Chennai,Fintech,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,Raja Vaidyanathan,"WorldBusiness Capital, Northern Arc",15000000.0,Unknown,5,2021
831,Mentoria,2015.0,Mumbai,Edtech,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,"Ashish Arora, Nikhar Arora, Sameer Bhakhri","Pradeep K Jaisingh, Jayant Mehrotra",200000.0,Pre-Series A,5,2021
834,FarMart,2015.0,Gurugram,Agritech,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,"Alekh Sanghera, Mehtab Singh Hans","Omidyar Network India, Avaana Capital",24000000.0,Pre-Series A,5,2021
835,Kodo Card,2019.0,Mumbai,Fintech,Kodo card is a corporate card for new economy businesses in India.,"Deepti Sanghi, Gaurav Thapa","Brex, Y-Combinator",8000000.0,Seed,5,2021
840,Jai Kisan,2017.0,Mumbai,Fintech,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,"Adriel Maniego, Arjun Ahluwalia","The Chatterjee Group, Prophetic Ventures",30000000.0,Series A,5,2021
841,Plum,2019.0,Bengaluru,Healthcare,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Harsh Jain, Lalit Keshre",15000000.0,Series A,5,2021
842,ThatMate,2019.0,Satara,Healthcare,ThatMate is a sexual and mental wellness app for teens.,Nishant Neeraj,"Supriya Kumari, Premanshu Singh",140000.0,Unknown,5,2021
843,Klassroom,2016.0,Mumbai,Edtech,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,Alka Javeri,ah! Ventures,200000.0,Pre-Series A,5,2021
844,Convin,2019.0,Bengaluru,Saas,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary","9Unicorns Accelerator Fund, Sunder Nookala",300000.0,Pre-Seed,5,2021
847,MedTel Healthcare,2017.0,Orissia,Healthcare,An aggregator for Digital Health Clinics in low resource settings.,"Ajit Choudhury, Lalit Ranjan Manik, Manish Kumar Swain, Shashank Singhal, Siba Prasad Panda",,5000000.0,Pre-Series A,5,2021
848,Pickright Technologies,2019.0,Bengaluru,Fintech,Pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,"Namandeep Bhatia, Archana E","Gaurav Gupta, Vivek Srivatsav",200000.0,Unknown,5,2021
850,BharatPe,2018.0,New Delhi,Fintech,"BharatPe is the definitive platform for financial services. We process payments via UPI and POS, and provide credit / loans to our merchants","Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Amplo, Insight Partners",6000000.0,Debt,5,2021
854,We Founder Circle,2020.0,Mumbai,Fintech,"A global platform of founders for founders offering investment, network and business opportunities.",Neeraj Tyagi,Geekster,2000000.0,Pre-Seed,5,2021
855,Haqdarshak,2015.0,Jaipur,Financial Services,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,"Aniket Doegar, Asha Krishnan, PR Ganapathy","Manish Subramaniam, Upaya Social Ventures",800000.0,Pre-Series A,5,2021
860,6Degree,2014.0,Mumbai,Retail,6Degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,"Amit Bhardwaj, Nikhil Hegde","Keiretsu Forum, SucSEED Venture Partners",1000000.0,Unknown,5,2021
861,Teachmint,2020.0,Bengaluru,Edtech,Teachmint is an online learning platform that focuses on tutor-student connectivity.,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain","Lightspeed India Partners, CM Ventures",16500000.0,Series A,5,2021
862,Sarathi,2020.0,Jodhpur,Healthcare,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",Aditi Poyam,,100000.0,Seed,5,2021
863,Jidoka Technologies,2018.0,Chennai,Software,"Deliver automation of visual inspection, retaining the power of human intelligence, to enhance quality and efficiency",Sekar Udayamurthy,,340000.0,Seed,5,2021
865,BYJU'S,2011.0,Bengaluru,Edtech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",150000000.0,Unknown,5,2021
866,ElasticRun,2015.0,Pune,E-Commerce,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","Avataar Venture Partners, Kalaari Capital",75000000.0,Series D,5,2021
867,Avail Finance,2017.0,Bengaluru,Fintech,Avail is a mobile-first platform aiming to financially include the urban mass of India.,"Ankush Aggarwal, Tushar Mehndiratta","Alteria Capital, Matrix Partners India",3000000.0,Debt,5,2021
868,Nivesh,2016.0,Noida,Fintech,Nivesh.com is a mass market mutual funds investment platform.,"Anurag Garg, Sridhar Srinivasan","Raghav Kapur, Indian Angel Network",1600000.0,Pre-Series A,5,2021
870,Arthya Wealth and Investments,2020.0,Mumbai,Fintech,"A comprehensive, high quality, open-architecture based Wealth Management and Investment Advisory platform, to cater to investors across the board: Individuals, Businesses/Corporate Treasuries, Family Offices, Trusts and more.",Gaurav Arora,"Rishi Kumar Bagla, Krishen Lal Khanna",1000000.0,Pre-Series A,5,2021
872,upGrad,2015.0,Mumbai,Edtech,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000.0,Unknown,4,2021
873,Lead School,2012.0,Mumbai,Edtech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000.0,Series D,4,2021
875,FypMoney,2021.0,Gurugram,Fintech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Seed,4,2021
877,Comofi Medtech,2018.0,Bengaluru,Healthtech,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,"CIIE.CO, KIIT-TBI",200000.0,Unknown,4,2021
880,Taikee,2010.0,Mumbai,E-Commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",,1000000.0,Unknown,4,2021
881,Fitterfly,2016.0,Mumbai,Healthtech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,Pre-Series A,4,2021
883,MyDentalPlan,2014.0,Bengaluru,Healthcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,Seed,4,2021
885,DealShare,2018.0,Jaipur,E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000.0,Unknown,4,2021
889,ixamBee,2016.0,New Delhi,Edtech,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000.0,Seed,4,2021
890,CoinSwitch Kuber,2017.0,Bengaluru,Fintech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,Series B,4,2021
891,Razorpay,2014.0,Bengaluru,Fintech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000.0,Series E,4,2021
893,ZFW Hospitality,2015.0,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000.0,Pre-Seed,4,2021
895,Northern Arc,2008.0,Chennai,Fintech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000.0,Unknown,4,2021
897,Sirona Hygiene,2015.0,New Delhi,Healthtech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000.0,Series A,4,2021
898,Pristyn Care,2018.0,Gurugram,Healthtech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Series D,4,2021
900,Vidyakul,2018.0,,Edtech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000.0,Seed,4,2021
901,Jambox Games,2021.0,Bengaluru,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,,1100000.0,Seed,4,2021
903,SuperK,2019.0,"Small Towns, Andhra Pradesh",Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,Seed,4,2021
904,TagZ Foods,2019.0,Bengaluru,Food & Beverages,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,Pre-Series A,4,2021
906,M1xchange,2017.0,Gurugram,Fintech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,Unknown,4,2021
908,EF Polymer,2018.0,Rajsamand,Agritech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,Unknown,4,2021
913,LearnVern,2016.0,Ahmedabad,Edtech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",,1000000.0,Unknown,4,2021
915,Dybo,2019.0,Bengaluru,Information Technology & Services,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,Seed,4,2021
919,Beldara,2018.0,Mumbai,E-Commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,Unknown,4,2021
920,CredFlow,2020.0,New Delhi,Fintech,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,4,2021
926,PlayShifu,2016.0,Bengaluru,Edtech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,4,2021
927,Pitstop,2015.0,Bengaluru,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,Pre-Series B,4,2021
928,Lendingkart,1999.0,Gujarat,Fintech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Debt,4,2021
929,CRED,2018.0,Bengaluru,Fintech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Series D,4,2021
930,Karnival,2015.0,Bengaluru,Saas,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,Seed,4,2021
931,PharmEasy,2015.0,Mumbai,Healthtech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Series E,4,2021
933,ShopSe,2020.0,Mumbai,Fintech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000.0,Unknown,4,2021
936,Groww,2017.0,Bengaluru,Fintech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Series D,4,2021
937,Avanti Finance,2016.0,Bengaluru,Fintech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,Series A,4,2021
939,OfBusiness,2015.0,Gurugram,Fintech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000.0,Unknown,4,2021
943,Spinny,2015.0,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000.0,Series C,4,2021
944,Safexpay,2017.0,Thane,Fintech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor",6000000.0,Unknown,4,2021
946,Speciale Invest,2017.0,Bengaluru,Fintech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",,10000000.0,Unknown,4,2021
947,Eunimart,2016.0,Hyderabad,E-Commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000.0,Pre-Series A,4,2021
948,Meesho,2015.0,Bengaluru,E-Commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000.0,Unknown,4,2021
949,CareerLabs,2019.0,Bengaluru,Edtech,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,Unknown,4,2021
950,Uable,2020.0,Bengaluru,Edtech,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh saxena,"JAFCO Asia, Chiratae Ventures",35000000.0,Pre-Series A,4,2021
953,Easebuzz,2015.0,Pune,E-Commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000.0,Series A,4,2021
955,DusMinute,2017.0,Bengaluru,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,Pre-Series A,4,2021
957,SkilloVilla,2020.0,Bengaluru,Edtech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,"Ronak Agrawal, Rajat Agrawal, Deepak Kharol",Titan Capital,300000.0,Seed,3,2021
958,Cancer Clinics,2014.0,Telangana,Healthcare,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.","Sonali Srungaram, Sasi Sunkara",Axilor,1500000.0,Pre-Series A,3,2021
959,Velocity,2020.0,Bengaluru,Fintech,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",Valar Ventures,1300000.0,Seed,3,2021
960,Happy Jars,2016.0,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.","Surabhi Talwar, Vikram Sekhar",Inflection Point Ventures,400000.0,Seed,3,2021
965,Dream Sports,2008.0,Mumbai,Gaming,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","Bhavit Sheth, Harsh Jain","TCV, D1 Capital Partners, Falcon Edge.",400000000.0,Unknown,3,2021
966,Safex Chemicals,1991.0,New Delhi,Agritech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,"SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,50000000.0,Unknown,3,2021
968,Rupifi,2019.0,Bengaluru,Fintech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Anubhav Jain,Quona Capital,4100000.0,Pre-Series A,3,2021
969,Moneyboxx,1994.0,Mumbai,Fintech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,Deepak Aggarwal,"Ashv Finance, BlackSoil Capital",3000000.0,Debt,3,2021
970,CityMall,2019.0,Gurugram,E-Commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Divij Goyal","WaterBridge Ventures, SAIF Partners",11000000.0,Series A,3,2021
971,Janani,2020.0,Bengaluru,Healthcare,Janani.ai is a fertility care provider.,Nilay Mehrotra,"Sweta Rau, 9Unicorns Accelerator Fund",1000000.0,Seed,3,2021
972,ReshaMandi,2020.0,Bengaluru,Agritech,India's 1st award winning technology led digital ecosystem for Silk,Utkarsh Apoorva,"Omnivore, Strive Ventures",1700000.0,Seed,3,2021
974,DotPe,2019.0,Gurugram,Fintech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","PayU, Google",27000000.0,Series A,3,2021
977,Five Star Finance,1984.0,Chennai,Fintech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,V K Ranganathan,"TPG Capital Asia, Epiq Capital",234000000.0,Unknown,3,2021
979,BYJU'S,2011.0,Bengaluru,Edtech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","BlackRock, Owl Ventures",460000000.0,Series F,3,2021
980,Annapurna Finance,2009.0,Bhubaneswar,Fintech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,Gobinda Chandra Pattnaik,"Asian Development Bank, Oman India Joint Investment Fund",30000000.0,Unknown,3,2021
981,HealthPlix,2014.0,Bengaluru,Healthcare,HealthPlix is a healthtech startup,"Raghuraj Sunder Raju, Sandeep Gudibanda","JSW Ventures, Kalaari Capital",13500000.0,Series B,3,2021
982,Masai School,2019.0,Bengaluru,Edtech,Masai School is a job-oriented software training services.,Prateek Shukla,"Unitus Ventures, Omidyar Network India",5000000.0,Series A,3,2021
984,IndiaLends,2014.0,New Delhi,Fintech,IndiaLends is a digital lending and borrowing marketplace.,"Gaurav Chopra, Mayank Kachhwaha","ACPI Investments, AdvantEdge Founders",5100000.0,Unknown,3,2021
989,KreditBee,2018.0,Bengaluru,Fintech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Alpine Capital, PremjiInvest",75000000.0,Seed,3,2021
990,True Balance,2014.0,Gurugram,Fintech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","Bon Angels Venture Partners, Daesung Private Equity",10000000.0,Debt,3,2021
991,Muvin,2020.0,Bengaluru,Fintech,Youth Neobank enabling financial solutions for the teenagers and young people,Mukund V Rao,,1000000.0,Seed,3,2021
994,Jeevam Health,2020.0,New Delhi,Healthcare,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,"Kamran alam, Piyush vishwakarma",Y Combinator,1500000.0,Pre-Seed,3,2021
996,OZiva,2016.0,Mumbai,Healthcare,OZiva is a plant-based Clean Nutrition Brand.,"Aarti, Mihir Gadani","F-Prime Capital, Eight Roads Ventures India",12000000.0,Series B,3,2021
998,Nazara Technologies,2000.0,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,"Hornbill Capital Advisers, Plutus Wealth Management",30000000.0,Unknown,3,2021
999,Euler Motors,2018.0,New Delhi,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,"ADB Ventures, Jetty Ventures",2600000.0,Series A,3,2021
1003,Chirrup,2020.0,Bengaluru,Gaming,Video integrated social-gaming platform,"Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, iSeed, First Cheque, 3.0 Fund.",300000.0,Pre-Seed,3,2021
1006,Juicy Chemistry,2014.0,Coimbatore,Healthcare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher.",Akya Ventures,6300000.0,Series A,3,2021
1007,Svasti Microfinance,2008.0,Mumbai,Fintech,Svasti works with urban slum dwellers women microentrepreneurs.,"Arunkumar Padmanabhan, Narayanan Subramaniam","Kayenne Ventures, Nordic Microfinance Initiative",4000000.0,Unknown,3,2021
1010,Ankur capital,2011.0,Mumbai,Fintech,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,Ritu Verma,,40000000.0,Unknown,3,2021
1011,Indifi,2015.0,Gurugram,Fintech,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India",5000000.0,Debt,3,2021
1015,Bimaplan,2020.0,Mumbai,Fintech,Affordable insurance for the next billion Indians,Vikul Goyal,"Titan Capital, Y Combinator",500000.0,Seed,3,2021
1016,YAP,2014.0,Chennai,Fintech,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",10000000.0,Series B,3,2021
1017,Leap Finance,2019.0,Bengaluru,Fintech,Leap Finance is a fintech startup for Indian students pursuing international higher education,Vaibhav Singh,Jungle Ventures,17000000.0,Series B,3,2021
1018,BlackSoil NBFC,2010.0,Mumbai,Fintech,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,Mohinder Pal Bansal,,3000000.0,Unknown,3,2021
1020,Max Healthcare,2000.0,New Delhi,Healthcare,Max Healthcare is one of the leading chain of hospitals in India.,Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare",140000000.0,Unknown,3,2021
1021,4baseCare,2018.0,Bengaluru,Healthtech,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, growX Ventures, Season Two Ventures",2000000.0,Pre-Series A,3,2021
1022,Ezstays,2019.0,New Delhi,Edtech,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.","Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",Richard Rekhy,400000.0,Seed,3,2021
1024,Kinara Capital,2011.0,Bengaluru,Fintech,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,Hardika Shah,"GAWA Capital, Gaja Capital",6000000.0,Unknown,3,2021
1026,NODWIN,2012.0,Gurugram,Gaming,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,Gautam Virk,Krafton,20000000.0,Unknown,3,2021
1027,Quizizz,2015.0,Bengaluru,Edtech,Quizizz is a Education based startup,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",12500000.0,Series A,3,2021
1028,Ecom Express,2012.0,New Delhi,E-Commerce,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","CDC Group, Partners Group",20000000.0,Unknown,3,2021
1031,Northern Arc,2008.0,Chennai,Fintech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,Kshama Fernandes,"U.S. International Development Finance Corp, Asian Development Bank",10000000.0,Debt,3,2021
1033,IGL,2016.0,Mumbai,Gaming,Indian Gaming League is the premier eSports platform in India.,Yash Pariani,"Hungama, Hindustan Talkies",500000.0,Unknown,3,2021
1034,AMPM,2018.0,Gurugram,E-Commerce,24*7 convenience store,Shubham Gupta,Agility Venture Partners,200000.0,Unknown,3,2021
1036,Cashify,2009.0,Gurugram,E-Commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",15000000.0,Unknown,3,2021
1038,Questt,2020.0,Gurugram,Edtech,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Akhil Singh, Mohsin, Rohit Pande","Chiratae Ventures, AET Fund",1000000.0,Seed,3,2021
1039,DealShare,2018.0,Jaipur,E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital",3000000.0,Debt,3,2021
1040,Euler Motors,2018.0,New Delhi,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",4000000.0,Series A,3,2021
1041,Blume Ventures,2011.0,Mumbai,Fintech,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,"Karthik Reddy, Sanjay Nath",Avendus,40000000.0,Unknown,3,2021
1043,ImaginXP,2013.0,Pune,Edtech,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,Vidhika Rohatgi,Venture Catalysts,1500000.0,Unknown,3,2021
1048,Northern Arc,2008.0,Chennai,Fintech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,Kshama Fernandes,"Asian Development Bank, U.S. International Development Finance Corp",50000000.0,Debt,3,2021
1049,Doubtnut,2016.0,Gurugram,Edtech,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",30000000.0,Series B,2,2021
1052,Comofi Medtech,2017.0,Bengaluru,Healthtech,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies","Satish Kalme, Kubasad Gururaj",CIIE.CO,200000.0,Unknown,2,2021
1054,Kutuki,2017.0,Bengaluru,Edtech,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2000000.0,Seed,2,2021
1056,Eupheus,2017.0,New Delhi,Edtech,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures",4000000.0,Series B,2,2021
1057,KreditBee,2018.0,Bengaluru,Fintech,KreditBee is an Instant Personal Loan Platform for Young Professionals.,Madhusudan Ekambaram,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",75000000.0,Series C,2,2021
1060,Marquee Equity,2016.0,Mumbai,Fintech,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,Ash Narain,"Capital One, Arrowroot Capital",3800000.0,Unknown,2,2021
